sentence,ID,clean sentence
"The barren islands, reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asia's next flashpoint for armed conflict.",3P7RGTLO6EE07HLUVDKKHS6O7CCKA5,"The barren islands, reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asia's next flashpoint for armed conflict."
Both China and the Philippines flexed their muscles on Wednesday.,3P7RGTLO6EE07HLUVDKKHS6O7CCKA5,Both China and the Philippines flexed their muscles on Wednesday.
"Del Rosario said that he warned China's ambassador that ""if the Philippines is challenged, we are prepared to secure our sovereignty.""",3P7RGTLO6EE07HLUVDKKHS6O7CCKA5,"Del Rosario said that he warned China's ambassador that ""if the Philippines is challenged, we are prepared to secure our sovereignty."""
"The Philippine navy was sending additional vessels toward the shoal, which lies about 200 kilometers (124 miles) from the nearest Philippine coast, a Philippine navy official told The Associated Press.",3P7RGTLO6EE07HLUVDKKHS6O7CCKA5,"The Philippine navy was sending additional vessels toward the shoal, which lies about 200 kilometers (124 miles) from the nearest Philippine coast, a Philippine navy official told The Associated Press."
He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media.,3P7RGTLO6EE07HLUVDKKHS6O7CCKA5,He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media.
"The standoff began Sunday when a Philippine navy surveillance plane spotted eight Chinese fishing vessels anchored in a lagoon at Scarborough, the Philippine Foreign Affairs Department said.",3P7RGTLO6EE07HLUVDKKHS6O7CCKA5,"The standoff began Sunday when a Philippine navy surveillance plane spotted eight Chinese fishing vessels anchored in a lagoon at Scarborough, the Philippine Foreign Affairs Department said."
The market was bracing itself for at least 50 billion euros in new cash.,3JMQI2OLFZ6ZDU99C032ZLVYLXBNDL,The market was bracing itself for at least 50 billion euros in new cash.
"You can't put out a number as low as 15 billion without an explanation, said a London-based banking analyst who did not want to be named.",3JMQI2OLFZ6ZDU99C032ZLVYLXBNDL,"You can't put out a number as low as 15 billion without an explanation, said a London-based banking analyst who did not want to be named."
"You can't put out a number as low as 15 billion without an explanation,"" said a London-based banking analyst who did not want to be named.",3JMQI2OLFZ6ZDU99C032ZLVYLXBNDL,"You can't put out a number as low as 15 billion without an explanation,"" said a London-based banking analyst who did not want to be named."
"Spanish lenders must set aside 30 billion euros, on top of 54 billion euros ordered in February, as provisions against loans which are still performing as well as bad ones while defaults rise in an recession which has sent unemployment to 24 percent.",3JMQI2OLFZ6ZDU99C032ZLVYLXBNDL,"Spanish lenders must set aside 30 billion euros, on top of 54 billion euros ordered in February, as provisions against loans which are still performing as well as bad ones while defaults rise in an recession which has sent unemployment to 24 percent."
